sentence,emotion
@aaminahh I'm excited about the books you received too! ,1
@Aaronshale cheers bruv! We've been delayed so spending a day in Houston. 2nd pint of the morning! ,1
"@aarosan Bummer, Festival of Beers is Saturday. ",0
@Abbybn u sick????   something is going around and I got it too ,0
"@abigaillovesyou LOL, well, that happens. But its worth it.  You've got me wanting to make a midnight run to the convenience store.",1
@abjekt she should've joined in the Do You Mind singalong at the end. ,0
@aceloveszcrazy i thought i was the reason u get up everydayyyy  l0l* jk,0
@achitnis is that really gonna help the it sector here?..i doubt not ,0
@AchtungMusic sunny and wearm and yes some of them are really nasty  Unfortunatly....most of them are really nice,0
"@acmaster27 haha yes, it would be cool, but i'm pretty sure my cookies don't know anything about political bias in cable news... ",1
@ad1951 _if you really had something like the exchange w/ @maikwl  in mind beforehand than I admit being utterly and positively surprised ,1
"@AdamCSmith RE: your french word. sorry, but it looks like you're going to have to try harder...its down 11.5%  ",1
@adamdexter i can't wait to see you buddy ,1
@adamdrago Tweetie will beat Nambu pretty soon I think. All it needs is saved searches and groups. Nambu crashed all the time for me ,0
@AdeeFreeman yes please I'm not on facebook and am not seeing anyone elses pic ,0
@adeline_sky  that sounds fantastic! You're amazing! We need to watch some Muse gigs too! Shall we do it Saturday night?,1
@Adri_Mane ROflmao... niqqa please. you ackin' a fool now. ,1
@Agent_Red yep this is my hobby!! back to work next week ,0
@agoss indeed. the only person who can fix it is james. and i think i'm about his least favourite person in the world. mehhh ,0
"@agrei8 One of my rants is that I was born when men walked on the moon, but I'll be dead before we get to Mars ",0
@aido thats really not a bad idea! I'd do the same if I had a mac laptop ,0
"@aiduong Oh goodness, I didn't know you could message friends on here! Hello Ai ",1
@aikabelle LOL yeah at least if you're watching that stuff... Don't tell anybody ,1
"@aiorselvar A brand spanking new Aior, to boot ",1
@airplanemancf you are so right  thanks for that. Always nice to have some positive people around!,1
@AK_NG you are not insane your husband tho not to sure ,1
"@Akelaa Hi sweet heart .. science &amp; cookies go hand in hand   What tweetup, hon?",1
"@alardw what's your experience with Spotify.com? Good? I've been looking into it, but unfortunately it isn't supported yet by Sonos.com ",0
@ALBinLA.  I was just thinking about you tonight!  You have to let me be the first to interview you're a famous super star ,1
"@alesa13 njoy your day hun :* and send me some sunshine, im hating this cold weather we're having ",0
@alexandramusic congratulations on winning an award  x,1
@AlexDScott Fab innit! I wet myself last night. That was before I saw that video though ,0
"@alexerific Ok, well in that case, definitely stay up and watch it... I'm obsessed LOL... it's going to be so hard to wait for series 4 ",0
@AlexGervais say it aint so ,0
@alexismom191 Lol..i understand sky blue makes me look young..hehe ill be 18 soon and i dont want it to come..  want to stay young 4ever,0
"@Alfie I was going to, but it's already cancelled ",0
"@alix_says, it's just like school except there's even more homework and everyone's a lot nicer (normally) ",1
@allan_at_rogue thanks Allan! They are photos from a Joolz Soiree I held up in Brisbane last year ,1
@allchornr  that's sad ,0
"@allexsa  i missed it, cus we went to Paris, thinking that party was next weekend ... still gotta do something this week before u leave!!",0
@Alleycat24 Goodnight ,1
@AllotmentAli Still just 10!! ,0
@almostsurprised yes sure did ,1
@amandadiva Facebook is such a trip! That's funny. Did you accept her friend request? ,1
@amandahesser thanks!  i couldn't have done it without you  ,1
@ameym21 awww  damn 'him' lol. he doesn't appriciate you enough.,0
@ameym21 I know I have no idea. ,0
"@amieewhitney Oh, but on the Telly, apart from VMA/EMA - I have EuroNews on in a kind of sad vain hope they might pop up lol ",0
@AmmO_Singh I overdid it Saurday night/Sunday morning  last night I began my recovery.,0
@amp451 good night  sweet dreamz,1
@Amy440 well well well...look who it is  welcome to this crazy twitter world...hahahha,1
@amyg0716 I'm gunnna do both of those things ,1
"@anaperiodista still its fun to go out there. im jealous, you were at Wrigley field though., i might have to go out there this summer ",1
@anasalido Hey you! I miss you a lot.. I want a catch up on your life sometime  and thanks lol,1
@ancaangie I envy you  .. In the office until 4:30 p.m. bleh,0
@andreatunes I can't even come close to the update issue  Did you try it via the app itself?,0
@andy065 podcasts are on my laptop ,1
@angelistic what shud i say instead ,0
@AngelsMind hey hey. ,1
@angiekaybee yep i saw him in february and i get to see @dfcook on may 8th. looking forward to seeing him again ,1
@angiem93 well I will just keep on posting pics of my boy for everyone to see    http://twitpic.com/2y436,1
@aniita_0517 Ani!! You finally discovered twitterworld!! hehe welcome!!!!   Oh this is so good! ,1
@Anjuli_nz haha there is a bit of that! makes getting up early easier too. ,1
"@annabellee dry sweet potato, huh? ",1
@AnnCurry That's a very bad news to start the week ,0
"@Anndra I haven't either - resorting to iPlayer to watch this afternoon, tho as TiVo let me down. ",0
@anne_brand Found it! But have no time to read it  http://tinyurl.com/clonhs,0
"@AnnekaF Haha, I'm not that silly I'd need another job first. Got more plans into motion for moving overseas now anyhow ",1
@AnnieC1 could do with some sympathy ... she's off work sick today   any offers??? ;),0
"@AnthonySteele With my developer hat on I sympathise, but with my user hat on I didn't even click on the button  Roll on SL-V3 I guess?",0
@aparajuli good luck to you ,1
@apleaforaaron i could really eat some cheese  i have a hankering for some austrian smoked cheese. YUM!,1
@ApothecaryJeri  I love Sicilians best damn pizza on the planet [says I] ,1
@apreezyl haay can you tell me the attendance question for personal computer tomorrow? Thanks  &lt;3,1
@arataka yay!  you found them!!!  ,1
@araza13 it could have been one of those miniatures ,1
"@architectmark sure is! What not 1 bit of kit? Mask, Fins and suit surely! BSAC got us to pay up and look big!   I Still go snorkeling.",0
@ARE_OH_ES_ES yeah  the butterfly wasn't healing at all.. it was super fucced up. Ill have my artist in AZ redo it eventually...,0
@ArfanChaudhry  Candles are not ment for a specific gender. Im telling u. U gotta be open to things of life. Don't matter what it is. ,1
@arhi cred ca ai dreptate ,1
"@arielbh Hope I'm not too late.. anywat, Good luck ",1
@ariherzog Fun stuff!  Night Ari!  I'm sure blip will be there tomorrow! ,1
@aritra_m There're some great Twitter apps for Mac. How much I miss my hackintosh installation. ,0
@arlenecd OH ISH!!! I WAS JUST KIDDING!!! WHERE IN CALI IS THIS @?!?!? ,1
"@Arrens Doing alright. Got a cold I think, and feeling sicker by the minute  Kinda regretting coming in to work!",0
@artistwells Ty Very much ,1
@ash_CT Aw dont you love that  I love for those days! Thanks about the pic ;-p,1
@AshFoo I know  but someone just told me that there is a free version only there are some minor advertisments so I guess I'll try that out,0
@ashleeadams doesn't make you look fat at all man. Good photo. ,1
@ashvala Was driving in Old madras road on my bike!! There is no concept called parking on the side ,1
"@asurana you're welcome, I haven't used aptana in &gt;6 months, let me know if you like it. ",1
"@aswinanand Well, we are on the verge of ruining this planet completely. Time we started working on another, dontya think? ",1
@Asylum69 haha same. you doing this from your fone or sumn ? i wish my fone could do it  lol,0
@atebits I still see your coming soon video !! no download link ,0
"@atebits sites.fastspring.com is taking its sweet time to do this transaction.  Is it my internets, or is it their payment g/way?",0
@AttractMode Thanks for putting on such a great event. Can't wait for the inevitable sequels! ,1
@Aubslace i also couldnt sleep  sucks doesnt it,0
@augustineiv Thank you ,1
@augustography hmmm think we need to get you climbing up hills .. you'll be really sining then ,1
@aussie_ali  yep it makes it so much easier to get points across in 140 ,1
@aussiecynic is it? why? well then indonesian school could be a great place for me at this point ,1
@AussieMcflyFan join the club!! my friends dont even know them  and they arent even gonna try to. haha. well; us McFly lovers are speacial,0
@Awfy I love the Youmeo Offices! :o I want them.. ,0
@axisportals scowls are a lot more temporary than adulthood ,1
"@azmamakim Now I get to take Ash to and from school   Mornings will be crazy, but my kiddos will love it!",1
@b_kelly me too ,0
"@b50 oh yes! The sleek ones!!!! Yes yes yes!!! I used to hunt for them as much as I could, which was not much ",0
@bakat mayor of cainta... were close right since friday. i forgot to tell you. Super hassle! ,0
"@baker_girl Hmmm, sounds like a real dilemma in the baker household ",1
"@ballookey Recoil pal? I'm a guy like me!  I will grab this up online tomorrow, currently texting from bed like a moron.",1
"@banccalif no excuses, I gotta get it done. I'll see what's good for the lab this weekend. the track has been a loooong time overdo  sowwy",0
"@barunner, can't sign up for your run alerts, Boston says registration is closed. ",0
"@beadevile had a great time, was Singapore! I'm in Australia now. My neck has gone a bit funny though ",0
@BeadieJay Thanks (twice).  Work start date put back again. Maybe Thursday. Maybe after Easter.,1
@beanXcore i do have one ,1
@beccaRAR they still sell poptarts? I haven't had one in AGES! I'm craving now ,0
"@bejithebear hey there..so cool to hear about the focus group...i am signed up for wed, hope ours is as fun as your was ",1
@bella456 Nah! You already gave me that good idea for the strawberry yogurt at Menchie's! ,1
@belliestobabies I have two too. I just don't know how people survive winter without jungle gyms at home ,1
@ben_mayer better be. I don't wanna have to come find u and save the dog. But I would!  I'm all 4 the animals . Call off the twit police,1
@bencc ruhroh. Wonder what this means for OpenSolaris + java ,0
@benhafner i would have to agree that @jocam is quite an amazing girl....and in a few weeks I'll be having dinner with an amazing couple ,1
@benhamin thank you ,1
@BenSouthward it'll either be that or star trek I think/hope ;) it's a long drive to sydney to watch hanna montana ,0
"@Bern_morley it's the weather, petal. don't sweat it ... oh ...  ... sorry ... ",1
@berofx: good luck with your challenge ,1
@betzitall Wall-E is a great battle for stress.   Yay for staying up all night and doing homework together!,1
"@beycah Good for you Becca, have a good sleep. ",1
"@bfgmartin tweetie looks cool, only thing stopping me is lack of columns   their iphone app is awsome though",0
@Bhawna_Sharma  Hmmm i am still busy.... ,0
@bigal709 found one dead in the field... wondered if the cat had caught it? lovely velvety coat. such a shame ,0
@bigal962 No probs can you publish a gig list? Thursday  Cardboard car - brilliant well done,0
@BigAlUK  I did the same thing  im actually trying to get a client to buy one so I can muck around with it,0
@bikeindia LOL! I think he shud get a pic of his taken with the bunnies himself now  The damn LCR site is alrdy NSFW at work though!,1
"@BinaryTweedDeej oh, welcome to my world. I've been fighting this problem for over a week now. It's not 100% fixed yet either ",0
@BittenbyBooks Oh good!  I'm glad you're feeling better!   I've been really good!  It'll be a crazy week though... In a good way! ,1
@BittersweetBaby I love target too  hiii nicole!,1
@BkBap Ahhh sound advice. ,1
